ExperimentId,inputIndex,PTSD,PTSDImageArousalSubscale,CognitiveControlOverEmotion,Stress,Depression,ExecutiveScore,Neuroticism,BaseImageDominance,BaseImageArousal,BaseImageValence,NightmareDistress,NightmareEffects,NightmareFrequency,DASSAnxiety,FearExtinctionFailureThreshold,BaseFearExtinctionAttemptThreshold,LogNightmareFrequency,ptsdOffset,ptsdIASOffset,ccoeOffset,stressOffset,depressionOffset,executivescoreOffset,neuroticismOffset,dominanceOffset,arousalOffset,valenceOffset,scalingOffset,stopHour
62,61,0.12319999999999999,0.06547058823529413,0.7550370370370372,0.6619999999999999,0.2196470588235294,0.3345,0.5374999999999999,0.2972222222222223,0.183,-1.307195,0.22,0.08243880458342111,0.123,0.09662464493842828,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
24,23,0.1386,0.0,0.6788518518518519,0.6619999999999999,0.19023529411764706,0.22483333333333333,0.44499999999999995,0.23777777777777778,0.305,-1.393,0.22,0.08160790486425576,0.123,0.08910140893891716,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
55,54,0.1848,0.10911764705882353,0.7342592592592594,0.6056666666666667,0.24905882352941175,0.2875,0.5374999999999999,0.535,0.305,-1.393,0.22,0.08631516389086262,0.123,0.11237928946972016,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
51,50,0.23099999999999998,0.13094117647058826,0.7411851851851853,0.6338333333333334,0.10199999999999998,0.217,0.5374999999999999,0.535,0.305,-1.238551,0.22,0.08494025321284038,0.123,0.10250427831811681,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
23,22,0.2618,0.0,0.6234444444444445,0.8591666666666666,0.4255294117647059,0.358,0.5374999999999999,0.23777777777777778,0.122,-1.341517,0.22575616456786068,0.17886720603210993,0.20519354838709677,0.12744285147865092,0.25,0.5,2.1836830421216202,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
28,27,0.616,0.32735294117647057,0.4918518518518519,0.831,0.3961176470588235,0.37366666666666665,1.0,0.535,0.305,-1.255712,0.22,0.2192551496101442,0.12932258064516128,0.19313499142973856,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
26,25,0.5082,0.24005882352941177,0.671925925925926,0.6056666666666667,0.36670588235294116,0.2875,0.6299999999999999,0.41611111111111115,0.2745,-1.358678,0.22,0.09593472097955964,0.123,0.13268044549350777,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
40,39,0.154,0.043647058823529414,0.7896666666666667,0.5775,0.2196470588235294,0.20916666666666667,0.25999999999999995,0.17833333333333334,0.2135,-1.341517,0.22,0.08013647183195693,0.123,0.07733813581044832,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
21,20,0.616,0.24005882352941177,0.5403333333333333,0.6619999999999999,0.48435294117647054,0.16999999999999998,1.0,0.47555555555555556,0.305,-1.393,0.22,0.22165257088613965,0.12932258064516128,0.2002110169338916,0.25,0.5,1.0697396898147833,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
89,88,0.0,0.0,0.8035185185185185,0.493,0.10199999999999998,0.13866666666666666,0.3524999999999999,0.0,0.0305,-1.393,0.22,0.07811997824976216,0.123,0.06793488577805121,0.25,0.5,-Infinity,0.464,0.348,0.187,0.374,0.474,0.188,0.449,0.453,0.231,0.221,0.25,341.0
